instant,dteday,season,yr,mnth,holiday,weekday,workingday,is_weekend,weather_code,t1,t2,hum,wind_speed,cnt,n_hours,coverage
1,2016-01-01,3,1,1,1,5,0,0,3,6.5,3.7291666666666665,82.5,16.729166666666668,9797,24,1.0
2,2016-01-02,3,1,1,0,6,0,1,5,10.5,9.395833333333334,87.02083333333333,21.604166666666668,7195,24,1.0
3,2016-01-03,3,1,1,0,0,0,1,4,8.645833333333334,6.354166666666667,83.5,16.1875,4869,24,1.0
4,2016-01-04,3,1,1,0,1,1,0,2,8.875,7.041666666666667,82.5625,12.5,20533,24,1.0
5,2016-01-05,3,1,1,0,2,1,0,3,8.979166666666666,7.895833333333333,85.66666666666667,8.4375,22805,24,1.0
6,2016-01-06,3,1,1,0,3,1,0,5,7.041666666666667,5.958333333333333,90.29166666666669,6.541666666666667,23038,24,1.0
7,2016-01-07,3,1,1,0,4,1,0,4,7.958333333333333,4.604166666666667,76.0625,24.229166666666668,18083,24,1.0
8,2016-01-08,3,1,1,0,5,1,0,3,7.354166666666667,5.083333333333333,77.9375,12.645833333333334,20762,24,1.0
9,2016-01-09,3,1,1,0,6,0,1,6,9.666666666666666,8.145833333333334,81.3125,18.041666666666668,11583,24,1.0
10,2016-01-10,3,1,1,0,0,0,1,3,7.25,4.166666666666667,75.375,18.916666666666668,14320,24,1.0
11,2016-01-11,3,1,1,0,1,1,0,5,7.041666666666667,4.229166666666667,82.60416666666667,16.520833333333332,21092,24,1.0
12,2016-01-12,3,1,1,0,2,1,0,4,6.1875,1.8333333333333333,77.95833333333333,27.8125,22799,24,1.0
13,2016-01-13,3,1,1,0,3,1,0,2,5.833333333333333,2.4791666666666665,71.47916666666667,18.104166666666668,24586,24,1.0
14,2016-01-14,3,1,1,0,4,1,0,3,4.479166666666667,-0.2083333333333333,73.02083333333333,25.9375,22186,24,1.0
15,2016-01-15,3,1,1,0,5,1,0,2,4.0,-0.2916666666666667,70.02083333333333,21.4375,22446,24,1.0
16,2016-01-16,3,1,1,0,6,0,1,2,3.1041666666666665,0.5625,75.625,9.5625,16091,24,1.0
17,2016-01-17,3,1,1,0,0,0,1,9,2.9583333333333335,0.75,80.3125,9.0625,11762,24,1.0
18,2016-01-18,3,1,1,0,1,1,0,2,2.9375,0.125,75.375,11.4375,22762,24,1.0
19,2016-01-19,3,1,1,0,2,1,0,1,1.3125,0.9583333333333334,68.52083333333333,2.7708333333333335,23819,24,1.0
20,2016-01-20,3,1,1,0,3,1,0,2,1.5625,0.3541666666666667,77.41666666666667,5.416666666666667,23800,24,1.0
21,2016-01-21,3,1,1,0,4,1,0,2,3.6875,1.1875,76.58333333333333,10.458333333333334,23378,24,1.0
22,2016-01-22,3,1,1,0,5,1,0,3,8.0625,5.604166666666667,79.89583333333333,15.354166666666666,18328,24,1.0
23,2016-01-23,3,1,1,0,6,0,1,3,8.666666666666666,6.729166666666667,83.6875,13.6875,17218,24,1.0
24,2016-01-24,3,1,1,0,0,0,1,3,12.4375,12.104166666666666,88.125,14.979166666666666,16360,24,1.0
25,2016-01-25,3,1,1,0,1,1,0,2,12.1875,11.854166666666666,72.375,19.791666666666668,25724,24,1.0
26,2016-01-26,3,1,1,0,2,1,0,4,10.1875,8.979166666666666,80.33333333333333,27.208333333333332,20224,24,1.0
27,2016-01-27,3,1,1,0,3,1,0,4,12.083333333333334,11.5625,80.10416666666667,30.541666666666668,21708,24,1.0
28,2016-01-28,3,1,1,0,4,1,0,1,7.875,4.625,65.64583333333333,22.270833333333332,25324,24,1.0
29,2016-01-29,3,1,1,0,5,1,0,3,11.791666666666666,11.625,77.9375,33.791666666666664,22526,24,1.0
30,2016-01-30,3,1,1,0,6,0,1,3,8.270833333333334,5.125,67.85416666666667,27.041666666666668,16381,24,1.0
31,2016-01-31,3,1,1,0,0,0,1,3,10.041666666666666,8.770833333333334,79.16666666666667,22.5,11019,24,1.0
32,2016-02-01,3,1,2,0,1,1,0,3,12.770833333333334,12.604166666666666,68.125,34.9375,23606,24,1.0
33,2016-02-02,3,1,2,0,2,1,0,2,9.0,5.333333333333333,61.1875,30.0625,24514,24,1.0
34,2016-02-03,3,1,2,0,3,1,0,2,6.229166666666667,2.5416666666666665,68.20833333333333,22.125,24436,24,1.0
35,2016-02-04,3,1,2,0,4,1,0,3,10.291666666666666,8.979166666666666,76.70833333333333,21.979166666666668,25154,24,1.0
36,2016-02-05,3,1,2,0,5,1,0,5,10.854166666666666,10.4375,78.9375,22.333333333333332,22597,24,1.0
37,2016-02-06,3,1,2,0,6,0,1,4,11.041666666666666,9.708333333333334,75.75,31.083333333333332,13126,24,1.0
38,2016-02-07,3,1,2,0,0,0,1,4,8.23913043478261,4.586956521739131,71.0,27.41304347826087,14025,23,0.9583333333333334
39,2016-02-08,3,1,2,0,1,1,0,4,8.833333333333334,4.388888888888889,63.166666666666664,41.388888888888886,19497,18,0.75
40,2016-02-09,3,1,2,0,2,1,0,3,6.333333333333333,2.6458333333333335,68.25,21.375,23308,24,1.0
41,2016-02-10,3,1,2,0,3,1,0,3,6.604166666666667,3.3541666666666665,71.83333333333333,18.708333333333332,23626,24,1.0
42,2016-02-11,3,1,2,0,4,1,0,2,5.208333333333333,3.1458333333333335,72.625,9.0625,25186,24,1.0
43,2016-02-12,3,1,2,0,5,1,0,2,4.75,1.9583333333333333,83.91666666666667,13.041666666666666,22819,24,1.0
44,2016-02-13,3,1,2,0,6,0,1,6,4.25,0.6666666666666666,85.5625,18.4375,9869,24,1.0
45,2016-02-14,3,1,2,0,0,0,1,3,4.4375,1.0625,72.875,15.979166666666666,13697,24,1.0
